transaction_date,region,product_category,channel,customer_segment,transaction_amount,monthly_active_users,churn_flag,support_tickets,marketing_spend
2024-02-06,West,Mortgages,ATM,Premium,1268.18,741,0,19,9233.27
2023-11-25,East,Savings,ATM,Business,43639.59,817,0,1,30253.88
2024-08-05,South,Loans,Online,Premium,68.01,4409,0,17,3858.84
2024-08-29,West,Credit Cards,Mobile App,Premium,711.74,4749,0,14,19112.08
2023-11-04,North,Mortgages,Mobile App,Business,79.57,3527,1,10,47246.37
2023-07-10,North,Loans,ATM,Business,3376.38,1213,0,17,11864.02
2024-04-24,North,Mortgages,ATM,Business,933.88,3526,0,0,29858.94
2024-03-05,Central,Insurance,Online,Retail,8511.93,3892,0,13,32385.84
2023-03-20,South,Loans,Branch,Retail,826.04,1835,0,13,36923.58
2024-04-16,West,Credit Cards,ATM,Student,952.02,4143,0,17,28784.05
2023-05-24,North,Loans,Mobile App,Retail,2489.86,2439,0,13,20219.07
2023-02-24,Central,Insurance,Online,Premium,1602.14,2134,0,10,34611.75
2023-06-06,North,Credit Cards,Mobile App,Student,530.06,3199,0,0,7188.68
2024-06-04,South,Mortgages,Branch,Premium,138.6,4136,0,12,28621.08
2024-04-28,North,Mortgages,Branch,Business,2806.56,134,1,15,23846.29
2024-01-30,Central,Credit Cards,ATM,Retail,968.38,1143,0,15,12042.51
2023-09-20,West,Credit Cards,Mobile App,Business,8410.98,4204,0,17,19846.71
2024-02-13,South,Mortgages,Mobile App,Business,2277.42,1655,0,19,48260.01
2024-10-11,East,Mortgages,Online,Retail,1785.35,1650,0,11,20005.53
2024-08-09,East,Insurance,Online,Retail,5143.54,161,0,20,40177.59
2024-09-08,North,Credit Cards,Branch,Student,2758.18,3067,0,12,41511.65
2023-10-30,South,Mortgages,Online,Business,596.53,1203,0,17,1579.65
2023-08-30,Central,Loans,Branch,Student,19489.04,4439,0,1,13438.93
2024-05-05,North,Savings,ATM,Premium,1834.5,4067,0,18,17091.51
2024-11-13,East,Savings,Online,Student,3656.69,2754,0,15,13411.02
2023-12-17,South,Loans,Branch,Premium,203.16,4270,0,13,37327.13
2023-06-25,East,Loans,Online,Premium,951.0,2494,0,1,6644.23
2024-08-25,North,Mortgages,Branch,Student,50.0,146,0,10,17630.14
2024-10-27,Central,Savings,Branch,Premium,859.99,4649,0,3,29176.52
2023-03-16,South,Savings,Mobile App,Premium,527.65,2406,0,16,26299.28
2024-10-05,Central,Loans,Mobile App,Retail,243.8,404,0,4,15399.63
2024-08-23,North,Savings,ATM,Premium,813.39,3550,0,11,8435.16
2023-11-13,West,Insurance,Branch,Student,12301.82,2927,0,12,11862.59
2024-07-02,West,Savings,ATM,Premium,957.28,4424,0,5,26242.32
2023-06-01,North,Savings,Online,Premium,499.31,3856,0,5,3657.13
2024-03-14,North,Credit Cards,Online,Retail,2881.89,3154,0,4,28573.94
2023-03-06,South,Credit Cards,Branch,Student,4640.29,282,0,20,3898.83
2024-06-08,East,Savings,Branch,Business,7861.58,1945,1,8,6538.65
2024-08-04,West,Insurance,Mobile App,Business,509.92,178,0,20,11008.9
2024-08-04,South,Insurance,Branch,Retail,1093.2,1275,0,11,24373.75
2024-12-11,North,Credit Cards,ATM,Business,11151.44,2579,0,13,19453.98
2023-03-25,East,Loans,ATM,Retail,1468.36,4276,0,1,24875.56
2024-05-10,Central,Credit Cards,ATM,Business,513.01,2087,0,5,39101.5
2023-02-10,East,Mortgages,Mobile App,Premium,2231.64,2504,0,18,40310.76
2023-05-02,Central,Insurance,Online,Business,590.28,3211,1,2,6091.82
2023-01-13,Central,Savings,ATM,Premium,4020.34,3736,0,19,9578.93
2024-03-29,East,Credit Cards,Online,Premium,248.74,2215,0,5,36433.85
2024-06-14,West,Insurance,Mobile App,Business,561.69,4439,0,2,7975.58
2024-03-19,South,Insurance,Online,Retail,145.41,1408,0,5,41154.5
2023-11-22,North,Credit Cards,ATM,Business,267.17,383,0,3,31121.03
2024-01-23,East,Mortgages,Online,Business,2753.89,2478,0,8,33127.63
2023-01-21,South,Credit Cards,Mobile App,Premium,2545.6,4852,0,10,49098.6
2023-01-02,East,Savings,Branch,Premium,411.67,631,0,0,2202.19
2023-07-21,West,Savings,Branch,Student,896.98,547,0,2,43072.97
2024-03-19,North,Insurance,Mobile App,Retail,240.53,4453,0,1,42166.02
2023-08-27,South,Credit Cards,Branch,Retail,553.26,1122,0,6,5292.77
2023-04-29,South,Insurance,ATM,Business,2919.53,1984,0,9,17085.49
2023-02-25,South,Insurance,Online,Student,5241.66,1559,0,5,33655.22
2023-04-12,East,Savings,ATM,Premium,2867.82,3744,0,5,38694.66
2024-08-12,North,Credit Cards,Branch,Student,195.29,1735,0,5,37561.34
2024-03-15,South,Savings,ATM,Retail,754.28,4871,0,1,44660.99
2023-05-15,North,Credit Cards,Mobile App,Premium,1189.24,3179,0,16,16943.47
2023-03-26,South,Loans,Online,Business,176.98,4726,0,6,45626.76
2024-06-17,North,Savings,ATM,Student,127.44,3368,0,2,29388.64
2023-03-28,Central,Insurance,Mobile App,Student,1932.99,4946,0,0,9745.96
2024-08-31,North,Credit Cards,Branch,Premium,1067.14,401,0,8,30125.07
2023-11-05,North,Credit Cards,Mobile App,Business,880.12,1769,0,19,10645.99
2024-02-15,South,Savings,Mobile App,Retail,560.11,188,0,9,7297.54
2023-09-11,East,Credit Cards,Branch,Business,262.1,672,0,17,20383.43
2023-03-09,East,Loans,Mobile App,Premium,1375.44,2116,0,20,48365.45
2023-01-12,South,Insurance,ATM,Premium,90.87,4939,0,9,32497.29
2023-07-14,East,Loans,Mobile App,Retail,542.61,1522,0,13,45831.8
2024-07-25,Central,Mortgages,ATM,Business,621.92,3096,0,9,26643.18
2023-12-05,North,Credit Cards,ATM,Retail,1437.91,691,0,20,44987.24
2024-03-23,West,Loans,Branch,Retail,4478.1,3349,0,12,23646.77
2024-02-10,North,Insurance,Mobile App,Business,3748.37,3381,0,5,6859.67
2024-07-25,East,Savings,Online,Retail,165.99,1674,0,6,38657.19
2023-07-29,North,Insurance,Mobile App,Premium,485.33,3401,0,15,38256.14
2023-05-22,North,Mortgages,ATM,Business,372.75,3117,0,7,14586.98
2024-08-30,West,Credit Cards,Mobile App,Student,50.0,4569,0,17,49196.07
2023-04-20,North,Credit Cards,ATM,Premium,4038.05,1463,0,18,25032.52
2023-11-05,Central,Mortgages,Branch,Business,9187.56,2701,0,4,3585.57
2024-08-30,South,Credit Cards,Mobile App,Student,3566.42,1269,1,18,47776.72
2024-01-16,South,Credit Cards,Branch,Premium,148.85,3171,0,7,30374.36
2024-10-18,North,Insurance,Mobile App,Business,4140.89,787,0,15,4904.34
2024-07-19,South,Savings,ATM,Retail,137.04,2797,0,4,42430.95
2024-06-15,North,Loans,ATM,Premium,896.92,1151,0,19,3670.5
2023-11-06,West,Credit Cards,Branch,Premium,1536.79,2047,0,14,47589.19
2024-11-03,West,Mortgages,Mobile App,Premium,72.94,4196,0,10,10760.92
2024-03-11,East,Loans,Branch,Student,3403.16,2683,0,3,28607.89
2024-02-29,North,Loans,Branch,Retail,176.65,3670,0,5,23687.36
2023-12-24,West,Mortgages,ATM,Premium,604.33,4865,0,8,42223.61
2024-05-03,North,Savings,Mobile App,Business,469.7,2649,0,11,32420.74
2024-03-20,Central,Mortgages,Online,Retail,346.66,174,0,10,49085.71
2023-01-26,South,Savings,ATM,Business,239.92,2970,0,1,15952.43
2024-03-13,North,Insurance,Online,Student,633.96,104,0,16,25235.85
2023-08-24,East,Credit Cards,Mobile App,Retail,7287.84,1271,0,7,15480.03
2024-02-16,North,Loans,ATM,Premium,3010.52,4436,0,16,34734.53
2023-11-05,South,Mortgages,Branch,Student,298.82,3173,1,13,29119.94
2024-12-05,South,Savings,Mobile App,Student,320.02,2135,0,20,44339.2
2023-08-18,North,Loans,Branch,Retail,845.37,327,0,2,7261.35
2023-11-01,South,Insurance,Mobile App,Student,74.2,4682,0,3,16172.09
2023-01-13,West,Mortgages,Online,Retail,1423.23,1385,0,0,47186.23
2023-01-15,North,Mortgages,Online,Business,1603.26,1956,0,12,49263.39
2023-02-01,North,Loans,ATM,Business,521.31,3283,0,6,1504.26
2024-01-17,North,Loans,Online,Student,4702.11,1632,0,1,7150.13
2023-08-21,East,Insurance,Mobile App,Retail,1245.52,3992,0,14,31965.82
2023-05-17,North,Mortgages,Online,Premium,637.67,545,0,9,31249.29
2024-12-11,West,Savings,Mobile App,Student,123.46,2472,0,14,10117.76
2024-07-26,South,Credit Cards,Mobile App,Student,1447.79,3099,0,15,48036.59
2024-09-11,South,Credit Cards,Mobile App,Student,820.17,1119,0,19,8752.51
2024-08-11,South,Savings,Online,Premium,8846.24,4392,0,7,7854.01
2023-07-26,South,Loans,Online,Retail,3223.86,3509,0,3,27041.98
2024-08-16,North,Loans,Mobile App,Premium,983.31,1044,0,0,9852.35
2023-07-28,East,Mortgages,Branch,Student,2461.39,4629,0,11,21595.54
2023-08-24,Central,Loans,Branch,Premium,14899.84,4072,0,5,14926.52
2023-04-12,North,Savings,ATM,Premium,846.63,3749,1,9,31187.17
2024-12-30,Central,Credit Cards,Mobile App,Premium,307.58,3575,0,19,16298.99
2024-10-06,North,Savings,ATM,Business,49689.19,1803,0,10,33032.68
2024-06-04,Central,Credit Cards,Mobile App,Business,24589.99,4067,0,7,38376.15
2023-01-28,West,Savings,Online,Retail,1145.19,3485,0,20,21069.72
2023-11-20,North,Mortgages,Branch,Business,3553.54,4948,0,11,25964.99
2024-05-10,South,Mortgages,Branch,Premium,28513.68,2744,0,11,19924.88
2023-02-11,Central,Mortgages,Online,Premium,5348.86,4741,0,10,12245.64
2024-01-09,South,Loans,Branch,Student,279.85,1060,0,3,9170.48
2023-01-12,South,Savings,ATM,Business,115.62,4689,0,16,39485.44
2023-09-22,West,Savings,Online,Premium,1355.67,2135,0,19,12104.23
2024-05-08,Central,Insurance,ATM,Business,137.07,3765,0,1,13910.33
2023-05-04,South,Mortgages,Mobile App,Retail,1913.45,3236,0,5,46074.94
2023-01-27,South,Insurance,Online,Premium,3741.59,1368,0,1,48128.99
2023-09-14,East,Savings,Branch,Retail,1392.69,2195,0,13,29353.75
2023-12-09,North,Insurance,Mobile App,Business,1006.67,4904,0,16,4735.69
2024-11-20,West,Loans,Mobile App,Premium,2207.29,3973,0,3,34312.45
2024-12-14,North,Mortgages,Branch,Student,3415.79,1128,0,15,19997.08
2023-01-31,East,Insurance,Branch,Premium,869.96,4972,0,5,11694.46
2024-06-19,West,Insurance,ATM,Retail,70.6,253,0,20,40321.88
2024-11-18,North,Credit Cards,ATM,Business,1749.05,1521,0,6,29823.01
2024-02-03,South,Savings,ATM,Business,286.82,2474,0,18,42802.31
2024-01-30,South,Savings,Online,Premium,2775.12,499,0,3,30685.71
2023-12-14,East,Loans,Branch,Premium,559.36,2603,0,1,30392.64
2023-09-08,North,Savings,Mobile App,Student,1654.27,3092,0,11,28910.29
2023-09-26,Central,Credit Cards,Branch,Premium,4698.2,1062,0,18,35845.49
2023-09-04,North,Credit Cards,Mobile App,Student,771.51,1988,0,15,11510.04
2023-07-01,Central,Credit Cards,Branch,Student,10304.41,2834,0,7,37547.52
2023-08-12,Central,Credit Cards,Mobile App,Premium,145.54,1543,0,0,4565.6
2024-03-29,South,Insurance,ATM,Business,2657.32,2071,0,8,43496.08
2023-02-27,East,Loans,ATM,Business,50.0,603,0,5,30899.24
2023-01-18,East,Insurance,ATM,Premium,836.68,4562,0,5,18032.55
2024-02-17,Central,Savings,Mobile App,Business,256.92,4754,1,15,27827.8
2023-06-17,East,Savings,Branch,Business,1891.39,113,0,4,22035.87
2023-12-12,South,Insurance,Branch,Premium,4860.71,3282,0,1,41571.22
2023-08-26,East,Loans,Mobile App,Retail,59.16,3378,0,3,23380.48
2023-09-19,Central,Savings,ATM,Retail,1389.53,1726,0,18,45533.26
2023-10-21,East,Credit Cards,Online,Student,399.12,4658,0,2,37548.64
2023-01-26,West,Insurance,Mobile App,Retail,1618.03,2470,0,13,20700.49
2023-01-08,Central,Savings,ATM,Premium,858.45,197,0,3,21534.83
2023-03-27,North,Mortgages,Mobile App,Student,877.84,2233,0,17,2820.53
2024-07-08,South,Mortgages,Branch,Business,539.08,1105,0,7,17287.12
2024-06-13,West,Credit Cards,Branch,Premium,1976.08,480,0,12,24012.29
2024-06-21,West,Insurance,Mobile App,Student,240.0,2384,0,6,28904.98
2024-05-22,West,Insurance,Online,Student,5077.26,4900,0,18,31657.55
2023-03-11,North,Credit Cards,Online,Business,1162.99,3227,1,20,30699.38
2023-01-20,Central,Credit Cards,Mobile App,Premium,50.0,2081,0,1,14365.7
2024-08-18,South,Mortgages,ATM,Premium,900.44,1691,0,12,36412.27
2023-03-22,Central,Credit Cards,Online,Business,3984.57,2761,0,7,46226.72
2024-11-09,South,Insurance,Mobile App,Premium,1479.2,2475,0,8,46227.33
2024-04-12,North,Credit Cards,ATM,Premium,260.11,387,0,3,21045.61
2024-03-30,North,Insurance,ATM,Student,2004.43,2930,0,0,17696.65
2023-12-12,South,Savings,Mobile App,Student,1342.78,4091,0,5,22282.9
2023-05-26,North,Mortgages,Mobile App,Premium,560.95,970,0,5,19238.61
2024-06-23,North,Mortgages,ATM,Business,3951.29,3925,0,14,48103.99
2024-02-19,East,Loans,Branch,Student,5594.6,2489,0,12,45191.11
2024-01-12,West,Mortgages,Online,Student,5025.89,4486,0,6,37301.37
2024-08-17,West,Credit Cards,Online,Business,2053.08,4836,1,4,22740.52
2024-06-24,West,Insurance,Branch,Premium,1480.66,4688,0,19,48692.01
2024-07-31,North,Insurance,Branch,Premium,1268.96,950,0,4,16003.71
2024-07-21,South,Mortgages,Online,Student,134.54,2032,0,12,8992.01
2023-06-05,North,Credit Cards,Online,Premium,1216.52,1031,0,20,10210.61
2024-07-22,North,Loans,Online,Retail,4659.81,2185,0,19,49606.89
2024-06-28,Central,Loans,ATM,Business,549.13,754,0,14,14501.38
2023-11-29,East,Insurance,Mobile App,Student,771.48,2140,0,20,24538.45
2023-07-29,Central,Insurance,Mobile App,Student,38666.24,4216,0,19,19152.68
2024-02-08,East,Credit Cards,Online,Retail,1149.61,4103,0,11,47711.4
2023-02-01,North,Mortgages,Branch,Business,14510.58,701,0,17,8099.54
2024-12-13,East,Loans,ATM,Premium,50.0,795,0,1,5497.14
2024-12-27,West,Insurance,Mobile App,Retail,1298.15,982,0,7,47044.61
2023-02-01,North,Credit Cards,Mobile App,Premium,506.9,3355,0,1,46235.26
2023-06-19,East,Loans,Mobile App,Business,3085.0,326,0,10,12926.94
2024-01-08,East,Savings,Online,Business,3191.1,4578,0,13,12485.03
2023-06-25,East,Loans,Online,Premium,329.78,1687,0,12,3808.04
2023-10-13,North,Loans,Mobile App,Student,1368.54,1601,0,1,17954.25
2023-11-26,West,Loans,Mobile App,Premium,448.45,3223,0,6,1683.88
2024-12-17,East,Insurance,Online,Student,2982.73,1841,0,6,32969.58
2023-11-04,North,Loans,Branch,Premium,8297.12,191,0,10,40396.65
2024-09-20,North,Credit Cards,ATM,Business,8136.73,2560,0,6,44444.16
2024-07-24,West,Savings,Branch,Premium,4022.09,4664,0,15,49275.94
2023-08-24,North,Credit Cards,Mobile App,Premium,1809.86,1141,0,19,5406.17
2024-08-04,North,Insurance,Branch,Business,3785.29,2843,1,11,4248.93
2024-11-02,North,Insurance,Branch,Business,79.05,4092,0,20,6310.79
2024-07-11,Central,Loans,Branch,Business,228.27,2341,0,0,16659.86
2023-06-13,North,Loans,Mobile App,Premium,7935.72,1461,0,6,4490.57
2023-10-22,South,Credit Cards,Mobile App,Business,216.64,4762,0,18,14927.34
2023-11-11,South,Insurance,Online,Premium,84.98,3678,0,4,15884.33
2024-08-14,North,Credit Cards,Mobile App,Premium,3483.29,2738,0,7,43750.59
2024-12-15,South,Loans,Mobile App,Student,6812.71,300,0,13,24899.47
2024-10-26,West,Savings,Mobile App,Retail,2233.7,2820,0,18,14452.29
2024-12-27,North,Loans,Branch,Retail,530.73,4850,0,17,45161.18
2024-11-20,South,Insurance,Mobile App,Business,7093.0,2330,0,17,8508.12
2023-01-31,North,Mortgages,Online,Business,591.39,2145,0,9,49479.78
2023-09-08,Central,Credit Cards,Mobile App,Premium,1426.71,1505,1,6,6785.74
2023-02-17,North,Mortgages,Branch,Retail,7003.4,1601,0,15,18509.27
2024-03-01,North,Mortgages,Mobile App,Student,16607.5,2279,0,20,9632.77
2023-04-29,North,Loans,ATM,Student,1325.97,128,0,8,41208.94
2024-02-20,North,Loans,Online,Retail,1461.42,761,0,11,9359.01
2023-10-16,North,Loans,ATM,Retail,76.22,3895,0,3,28272.59
2024-09-09,Central,Savings,ATM,Retail,1228.5,357,0,15,31691.14
2024-05-03,West,Credit Cards,Mobile App,Student,29879.58,4605,0,8,20641.08
2023-05-03,West,Insurance,Branch,Business,50.0,3087,0,20,49993.25
2024-03-31,North,Credit Cards,Branch,Student,5041.87,656,0,4,49666.5
2024-12-05,South,Mortgages,Mobile App,Retail,198.78,2761,0,17,13336.38
2023-11-10,Central,Mortgages,Mobile App,Premium,414.69,4885,0,6,32934.01
2023-03-14,Central,Loans,Branch,Business,168.45,4186,0,14,14130.85
2023-06-08,North,Mortgages,ATM,Premium,214.26,984,0,15,48286.9
2023-01-06,North,Credit Cards,ATM,Business,425.88,3996,0,0,22044.76
2024-09-27,South,Loans,Online,Premium,339.64,843,0,7,27057.78
2023-04-25,Central,Insurance,Online,Student,484.17,4109,0,13,14821.44
2023-11-05,North,Mortgages,Branch,Student,967.3,987,0,13,17571.58
2024-07-02,West,Insurance,Mobile App,Retail,9171.34,1466,0,11,8178.16
2023-11-29,North,Mortgages,Online,Premium,4152.71,720,0,16,47636.98
2024-07-31,South,Insurance,Mobile App,Retail,638.96,1121,0,6,17860.42
2024-01-24,West,Savings,ATM,Business,156.3,1757,0,15,24369.98
2024-09-17,North,Loans,Mobile App,Student,9718.46,1823,0,3,3274.38
2023-10-23,East,Credit Cards,Mobile App,Business,6536.58,215,0,6,49272.63
2023-02-20,South,Savings,Branch,Student,1129.66,3552,0,2,19115.55
2024-04-01,South,Credit Cards,Branch,Business,196.22,1359,0,19,1977.49
2024-08-02,North,Savings,Branch,Premium,6592.37,1127,0,12,22789.28
2023-11-23,Central,Savings,Mobile App,Student,296.37,3295,0,16,39671.26
2024-03-20,North,Insurance,Branch,Retail,330.35,801,0,10,39183.64
2024-01-01,South,Mortgages,Mobile App,Student,50.0,4108,0,12,4033.99
2024-12-18,Central,Insurance,Mobile App,Business,2998.35,812,0,5,25406.15
2023-02-12,Central,Loans,Online,Premium,50.0,2593,0,1,15729.5
2023-11-09,South,Insurance,Mobile App,Premium,722.77,1601,0,7,15839.23
2023-09-13,West,Insurance,Branch,Retail,690.28,833,0,12,48044.16
2023-09-24,West,Loans,Mobile App,Premium,50.0,2840,0,1,27606.23
2024-10-09,North,Credit Cards,Branch,Premium,1451.5,4109,0,3,43924.7
2023-07-28,East,Insurance,Branch,Business,3175.27,515,0,19,30582.04
2024-10-30,Central,Savings,Online,Student,401.75,2404,0,12,47769.93
2023-03-06,South,Insurance,Branch,Student,1959.27,4109,0,18,35749.44
2024-04-10,South,Savings,Mobile App,Premium,7326.3,315,0,11,23579.09
2023-09-25,South,Credit Cards,ATM,Student,727.66,1774,0,6,47553.5
2024-02-17,North,Savings,Branch,Retail,1733.92,4231,0,17,24097.01
2024-01-22,South,Insurance,Online,Student,12876.94,2248,0,19,25615.15
2023-11-20,South,Mortgages,Online,Business,146.12,3548,0,16,31787.05
2023-01-05,North,Credit Cards,Mobile App,Retail,107331.76,3105,0,20,16023.27
2023-02-08,East,Insurance,Online,Retail,1649.82,1126,0,2,15109.21
2024-06-24,Central,Savings,Branch,Student,179.51,4243,0,6,26278.42
2023-09-29,Central,Mortgages,Online,Retail,4065.46,2273,0,0,38020.52
2024-06-20,South,Loans,Branch,Premium,895.0,634,0,4,2830.27
2023-09-29,North,Mortgages,Mobile App,Business,1131.16,1002,0,10,7990.0
2023-06-30,East,Loans,Branch,Retail,587.72,4856,0,18,2500.31
2024-07-21,West,Mortgages,Mobile App,Premium,1162.95,3414,0,5,9646.43
2024-07-22,East,Credit Cards,Mobile App,Student,2904.98,1937,0,15,21595.86
2024-08-12,North,Mortgages,Online,Retail,847.7,4824,0,0,29119.35
2023-01-24,North,Mortgages,ATM,Student,486.6,649,0,5,39041.98
2023-04-22,North,Mortgages,Online,Student,625.1,2894,0,16,10539.94
2024-08-09,South,Loans,Branch,Retail,177.46,4774,0,18,41443.68
2024-01-24,South,Credit Cards,Online,Student,8507.93,3758,0,18,6150.9
2023-09-30,North,Loans,Online,Student,6256.41,1339,0,12,19290.89
2024-12-17,North,Insurance,ATM,Retail,1525.67,1192,0,17,48862.23
2023-08-02,East,Insurance,Mobile App,Premium,2708.06,962,0,8,45557.54
2024-07-10,South,Loans,Branch,Student,841.49,2869,0,3,9560.09
2024-02-06,South,Credit Cards,Online,Student,177.8,2172,0,9,47837.98
2023-04-08,West,Insurance,Branch,Business,2107.16,2749,0,20,43887.41
2024-09-25,Central,Savings,Online,Retail,79.8,3411,1,9,6914.38
2023-05-03,North,Loans,ATM,Student,7748.83,2475,0,13,46949.21
2023-11-29,South,Credit Cards,ATM,Student,2112.12,4883,0,4,20709.77
2023-12-20,North,Mortgages,Online,Premium,3615.73,4063,0,10,48059.86
2023-11-25,North,Mortgages,Branch,Premium,2413.31,1815,0,1,23160.97
2023-10-05,Central,Loans,ATM,Business,1339.31,1497,0,8,8234.95
2024-09-28,Central,Insurance,ATM,Student,91.83,3135,1,13,40773.46
2024-05-14,East,Loans,ATM,Student,641.61,1926,0,2,5281.45
2024-12-17,West,Loans,Online,Retail,1388.71,4809,0,9,7234.13
2024-01-29,West,Credit Cards,Mobile App,Student,892.08,996,0,20,11378.21
2024-05-28,East,Loans,Mobile App,Retail,259.99,463,0,9,24103.73
2024-09-23,North,Credit Cards,Mobile App,Student,487.3,3848,0,13,25395.86
2024-01-19,South,Credit Cards,Online,Business,5220.04,3768,0,4,5377.58
2023-11-16,East,Loans,Mobile App,Retail,437.67,4405,0,16,46759.57
2024-08-08,East,Mortgages,Mobile App,Business,135.68,201,0,1,20899.45
2024-02-20,North,Loans,Branch,Premium,4906.78,3709,0,6,8985.31
2023-03-04,North,Credit Cards,Mobile App,Premium,4322.66,758,0,5,22830.95
2024-02-29,Central,Credit Cards,Branch,Student,1045.57,956,0,9,47955.86
2024-07-05,West,Credit Cards,Branch,Premium,249.38,817,0,4,7421.65
2023-08-26,East,Mortgages,Branch,Retail,7383.74,3560,1,20,4207.24
2023-09-07,East,Loans,ATM,Premium,1901.05,413,0,3,20515.96
2023-04-28,East,Loans,Online,Premium,662.46,1643,0,10,13525.38
2024-09-24,East,Insurance,Branch,Retail,1012.02,3389,1,1,42319.3
2023-08-01,West,Credit Cards,ATM,Retail,162.72,4675,0,10,18305.23
2024-11-14,South,Mortgages,Branch,Business,2171.72,3572,0,13,19433.23
2023-04-20,South,Insurance,Branch,Premium,771.2,1118,0,12,35807.53
2023-11-22,East,Loans,Branch,Student,2943.06,4175,0,11,3761.11
2023-07-22,South,Credit Cards,Branch,Student,340.09,4692,0,14,13993.11
2023-11-06,East,Mortgages,Online,Retail,2295.71,780,0,0,49162.48
2023-05-06,South,Savings,Mobile App,Premium,93.39,535,0,5,14895.33
2023-05-12,Central,Insurance,Mobile App,Premium,8984.44,2009,0,9,14657.79
2024-07-23,South,Mortgages,Branch,Student,563.44,1305,0,0,5624.44
2023-05-10,North,Insurance,Mobile App,Student,146.09,4838,0,1,40495.77
2024-11-15,North,Credit Cards,Mobile App,Retail,448.21,2169,0,20,13403.33
2023-06-10,North,Savings,Online,Retail,1885.63,539,0,2,19826.99
2023-04-06,West,Insurance,Branch,Student,2699.36,3902,0,12,25705.21
2024-12-05,Central,Loans,Mobile App,Retail,853.67,608,0,10,1585.77
2024-12-23,South,Insurance,Online,Retail,1609.33,1216,0,8,37361.5
2024-05-06,North,Credit Cards,Online,Retail,81.06,2635,0,8,12348.28
2023-12-03,South,Savings,ATM,Student,2229.83,1962,0,12,35165.89
2023-06-13,South,Loans,Branch,Premium,5704.37,1328,0,15,11264.02
2023-07-02,Central,Savings,ATM,Premium,1641.79,3766,0,19,9929.31
2024-07-18,Central,Savings,Branch,Retail,376.63,3861,0,7,22002.24
2023-04-23,West,Savings,Mobile App,Student,6618.24,4509,0,10,29799.05
2023-12-09,North,Insurance,Online,Retail,5452.53,1275,0,1,32400.1
2024-07-21,North,Credit Cards,Mobile App,Student,7600.35,612,1,17,44485.42
2023-12-04,North,Insurance,Online,Premium,2896.79,673,1,12,42596.99
2023-06-24,North,Loans,Online,Student,3386.79,2143,0,9,2907.41
2024-08-23,East,Mortgages,ATM,Business,133.79,2405,0,7,31606.77
2023-04-03,West,Loans,ATM,Premium,101.74,1987,0,7,14236.51
2024-09-08,North,Mortgages,Mobile App,Business,305.98,2811,0,7,43550.68
2023-08-16,North,Credit Cards,ATM,Business,480.53,1652,0,8,7491.04
2024-10-21,East,Insurance,Online,Retail,425.76,828,0,2,4477.75
2023-10-16,East,Loans,Online,Retail,494.3,1480,0,8,19734.87
2023-07-02,East,Mortgages,Branch,Student,7551.11,1433,0,15,16795.65
2024-02-16,North,Insurance,Online,Retail,4673.63,3730,0,4,35406.76
2023-09-05,North,Credit Cards,Mobile App,Premium,4703.55,880,0,6,1945.16
2024-03-13,South,Savings,ATM,Business,398.06,2236,0,8,30813.65
2023-05-29,East,Credit Cards,Branch,Premium,718.76,3538,0,3,34359.79
2024-02-27,South,Loans,Online,Retail,84.63,4913,0,2,29869.82
2024-05-12,East,Insurance,Branch,Student,1197.03,2601,0,1,30590.61
2023-02-25,East,Insurance,Online,Premium,913.91,4278,0,6,10260.98
2023-01-13,South,Savings,Branch,Premium,6639.63,179,0,13,45620.64
2024-07-29,North,Savings,Online,Retail,475.6,2175,0,19,37729.25
2023-08-21,Central,Mortgages,Mobile App,Premium,26247.57,318,0,4,42071.16
2024-10-07,North,Loans,Mobile App,Student,2376.66,1054,0,11,30365.01
2024-07-24,East,Insurance,ATM,Premium,1920.94,1418,0,9,24429.17
2024-05-20,South,Savings,ATM,Retail,28086.24,3254,1,8,16447.67
2023-03-28,West,Mortgages,Mobile App,Student,247.99,3270,0,1,42448.02
2024-08-06,West,Loans,ATM,Student,934.13,3349,0,17,25901.59
2024-05-04,West,Insurance,Online,Student,680.79,1364,0,2,23853.4
2023-08-30,North,Loans,Online,Business,54638.62,3279,0,2,23250.13
2024-11-02,Central,Credit Cards,Branch,Business,356.52,4385,0,2,20549.06
2023-05-06,East,Savings,Branch,Premium,5353.4,1993,0,6,45421.22
2023-04-10,West,Savings,ATM,Retail,486.77,3218,0,3,41395.61
2023-07-01,Central,Insurance,ATM,Student,2243.29,1486,0,8,43087.22
2024-02-26,West,Insurance,Branch,Business,168.4,2156,0,17,19726.18
2024-05-11,Central,Savings,Mobile App,Retail,1576.8,1656,0,11,45703.64
2024-12-18,South,Insurance,ATM,Business,156.7,4187,0,1,41499.15
2023-05-30,North,Mortgages,Mobile App,Retail,1680.15,2381,0,13,15660.92
2024-12-05,South,Insurance,Branch,Student,24398.34,4289,0,5,7777.17
2024-08-09,East,Insurance,Online,Student,234.13,4669,0,0,27012.8
2023-10-15,North,Credit Cards,ATM,Business,2222.67,4287,0,13,45328.13
2023-05-09,Central,Credit Cards,Branch,Business,919.38,3230,0,18,33561.9
2023-10-19,North,Loans,Mobile App,Premium,63731.08,3461,0,3,25355.8
2024-07-27,South,Mortgages,Mobile App,Retail,93.37,4291,0,9,40727.44
2023-02-23,South,Savings,Online,Premium,2528.59,453,0,10,46862.44
2023-07-03,South,Savings,Mobile App,Student,239.09,2335,0,2,40061.29
